operator_code,flight_count,periods_active,route_count,delayed_over_15_count,median_arrival_delay_min,median_scheduled_duration_min,delay_over_15_pct,scope_id,scope_label,operator_name,operator_country,executive_eligible
UTA,553,4,25,234,11.6,133.0333,42.3146,scheduled_duration_under_3h,Under 3 hours,UTAIR AVIATION,RUSSIAN FEDERATION,True
UZB,132,4,7,33,7.8583,147.125,25.0,scheduled_duration_under_3h,Under 3 hours,UZBEKISTAN AIRWAYS JSC,UZBEKISTAN,False
VIR,46,3,10,8,1.4583,53.1583,17.3913,scheduled_duration_under_3h,Under 3 hours,VIRGIN ATLANTIC,UNITED KINGDOM,False
VLG,61208,4,724,8692,2.9333,93.1167,14.2008,scheduled_duration_under_3h,Under 3 hours,VUELING AIRLINES,SPAIN,True
VSV,378,4,8,126,9.7,76.2333,33.3333,scheduled_duration_under_3h,Under 3 hours,SCAT,KAZAKHSTAN,False
WIF,39598,4,294,585,-11.7333,56.2167,1.4773,scheduled_duration_under_3h,Under 3 hours,WIDEROE'S FLYVESELSKAP A/S,NORWAY,True
WZZ,61740,4,1847,11225,2.8917,116.6667,18.1811,scheduled_duration_under_3h,Under 3 hours,WIZZ AIR HUNGARY LTD,HUNGARY,True
AAL,11396,4,110,2654,4.0833,494.825,23.2889,scheduled_duration_3h_or_more,3 hours or more,AMERICAN AIRLINES INC.,UNITED STATES,True
AAR,827,4,20,566,24.7833,681.1,68.4401,scheduled_duration_3h_or_more,3 hours or more,ASIANA AIRLINES,REPUBLIC OF KOREA,True
AAW,168,4,5,58,9.5333,196.7417,34.5238,scheduled_duration_3h_or_more,3 hours or more,AFRICAN AIRLINES CORPORATION,LIBYA,False
ABB,652,4,36,192,4.7333,524.325,29.4479,scheduled_duration_3h_or_more,3 hours or more,AIR BELGIUM SA,BELGIUM,True
ABD,682,4,107,248,9.9667,480.7167,36.3636,scheduled_duration_3h_or_more,3 hours or more,AIR ATLANTA ICELANDIC,ICELAND,True
ABG,54,1,25,35,21.2917,399.6833,64.8148,scheduled_duration_3h_or_more,3 hours or more,"ROYAL FLIGHT AIRLINES, CJSC",RUSSIAN FEDERATION,False
ABY,1560,4,24,487,7.325,271.575,31.2179,scheduled_duration_3h_or_more,3 hours or more,AIR ARABIA,UNITED ARAB EMIRATES,True
ACA,7931,4,115,5321,27.5167,451.65,67.0912,scheduled_duration_3h_or_more,3 hours or more,AIR CANADA,CANADA,True
ACP,192,4,31,78,10.9667,420.125,40.625,scheduled_duration_3h_or_more,3 hours or more,ASTRAL AVIATION LIMITED,KENYA,False
ACY,185,3,7,48,5.15,211.9333,25.9459,scheduled_duration_3h_or_more,3 hours or more,ARMENIAN NATIONAL AIRLINES CJSC,ARMENIA,False
ADY,282,3,13,54,-0.2,252.6083,19.1489,scheduled_duration_3h_or_more,3 hours or more,AIR ARABIA ABU DHABI,UNITED ARAB EMIRATES,False
